time,integral_c,integral_w
0,0,0
0.2,1250.0086086325,-0.018945506706179
0.4,1250.0086086326,-0.018930321962398
0.6,1250.0086086328,-0.018857697006445
0.8,1250.0086086329,-0.018506230127062
1,1250.0086086329,-0.016792982424291
1.2,1250.0086086329,-0.008420498068095
1.4,1250.0086086329,0.031977589751731
1.6,1250.0086086329,0.21531189320201
1.8,1250.0086086329,0.92646488785678
2,1250.0086086329,2.9861657411599
2.2,1250.0086086329,6.8354810484184
2.4,1250.0086086329,10.740864731386
2.6,1250.0086086329,11.901222426602
2.8,1250.0086086329,10.268792814773
3,1250.0086086329,7.9626809926164
3.2,1250.0086086329,6.1255932191637
3.4,1250.0086086328,4.885737305395
3.6,1250.0086086328,4.2443468677244
3.8,1250.0086086328,4.0169052508186
4,1250.0086086328,3.960444488177
4.2,1250.0086086328,3.8652081982453
4.4,1250.0086086328,3.5752903023033
4.6,1250.0086086328,3.0355941128483
4.8,1250.0086086328,2.2539040282533
5,1250.0086086328,1.2470704482429
5.2,1250.0086086328,0.085128711150631
5.4,1250.0086086328,-1.0899843457773
5.6,1250.0086086328,-2.1445298633643
5.8,1250.0086086328,-3.0054757250791
6,1250.0086086328,-3.6760363079804
6.2,1250.0086086328,-4.1923013124515
6.4,1250.0086086328,-4.5902404313175
6.6,1250.0086086328,-4.9129155126228
6.8,1250.0086086328,-5.1429901821949
7,1250.0086086328,-5.3079646393897
7.2,1250.0086086328,-5.5182861630126
7.4,1250.0086086328,-5.731196861855
7.6,1250.0086086328,-5.8794651873571
7.8,1250.0086086328,-6.0020958800534
8,1250.0086086328,-6.142351420339
8.2,1250.0086086328,-6.3074058167413
8.4,1250.0086086328,-6.5073684102724
8.6,1250.0086086328,-6.7538587250474
8.8,1250.0086086328,-7.019759731592
9,1250.0086086328,-7.2656454889883
9.2,1250.0086086328,-7.4813091789672
9.4,1250.0086086328,-7.6767906971413
9.6,1250.0086086328,-7.8584989858267
9.8,1250.0086086328,-8.0169047252849
10,1250.0086086328,-8.1402776393209
