time,integral_c,integral_w
0,0,0
0.2,1250.0086086329,-0.018946250452658
0.4,1250.0086086329,-0.018886010069311
0.6,1250.0086086329,-0.018362709302662
0.8,1250.0086086329,-0.014501012242507
1,1250.0086086329,0.0073715505710283
1.2,1250.0086086329,0.076406401215963
1.4,1250.0086086328,0.15400371283529
1.6,1250.0086086328,0.18797360417621
1.8,1250.0086086328,0.32692183232847
2,1250.0086086328,0.53922062269045
2.2,1250.0086086328,0.65909851228254
2.4,1250.0086086328,0.70037135783254
2.6,1250.0086086328,0.79981795207883
2.8,1250.0086086328,0.94729209126438
3,1250.0086086328,1.0094303981823
3.2,1250.0086086328,0.92234929438699
3.4,1250.0086086328,0.85827668768422
3.6,1250.0086086328,0.94440046064751
3.8,1250.0086086328,1.0081246461362
4,1250.0086086328,1.0995924377532
4.2,1250.0086086328,1.0222845206218
4.4,1250.0086086328,1.0703081075096
4.6,1250.0086086328,1.4563483325017
4.8,1250.0086086328,1.8092749800533
5,1250.0086086328,2.0988793531936
5.2,1250.0086086328,2.4580106295892
5.4,1250.0086086328,2.8881855229448
5.6,1250.0086086328,3.0408280629845
5.8,1250.0086086328,2.9217702815005
6,1250.0086086328,2.8650130117586
6.2,1250.0086086328,2.876617918595
6.4,1250.0086086328,2.8662810543032
6.6,1250.0086086329,2.8996957264093
6.8,1250.0086086329,3.0147291969817
7,1250.0086086329,3.0177030677815
7.2,1250.0086086329,2.9006436889202
7.4,1250.0086086329,2.8445662307729
7.6,1250.0086086329,2.8426220900364
7.8,1250.0086086329,2.8463694251783
8,1250.0086086328,2.7567670628635
8.2,1250.0086086329,2.5091673103397
8.4,1250.0086086329,2.2999501290879
8.6,1250.0086086329,2.1283535834672
8.8,1250.0086086329,1.8295082198126
9,1250.0086086329,1.4898361528227
9.2,1250.0086086329,1.2049814208281
9.4,1250.0086086329,0.9617431579006
9.6,1250.0086086329,0.79457339444485
9.8,1250.0086086329,0.73637279657866
10,1250.0086086329,0.75887973959406
